,name,link,min_salary,max_salary,currency,employer,site_name
28,Старший аналітик (senior research analyst),https://hh.ru/vacancy/50752822?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,"Південний, акціонерний банк",hh.ru
29,Аналитик (Удаленно),https://hh.ru/vacancy/51627722?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,100000,100000,руб.,ИП Хохлова Инна Валериевна,hh.ru
30,Junior Product Analyst / Младший аналитик,https://hh.ru/vacancy/51191785?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,40000,40000,руб.,Mego.travel,hh.ru
31,Аналитик Power BI,https://hh.ru/vacancy/50861374?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,170000,170000,руб.,ИП Ельмикеев Евгений Иванович,hh.ru
32,Аналитик данных / Data scientist,https://hh.ru/vacancy/49598346?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,130000,130000,руб.,MNOGOGAMES,hh.ru
33,Junior Data-аналитик (Kolesa Academy)/Стажер,https://hh.ru/vacancy/51830115?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,150000,150000,KZT,Kolesa Group,hh.ru
34,Бизнес-аналитик (Junior),https://hh.ru/vacancy/51705080?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,30000,30000,руб.,ООО ЛЕГАЛБЕТ,hh.ru
35,Бизнес-аналитик (Junior),https://hh.ru/vacancy/51705705?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,30000,30000,руб.,ООО ЛЕГАЛБЕТ,hh.ru
36,Стажер-аналитик Anaplan,https://hh.ru/vacancy/51771274?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,40000,40000,руб.,Team Value,hh.ru
37,Аналитик данных,https://hh.ru/vacancy/50801226?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,90000,90000,руб.,АО Инфотек-Балтика М,hh.ru
38,Аналитик данных / Data Analyst,https://hh.ru/vacancy/51768885?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,руб.,Carely,hh.ru
